"gvkey","tic","conm","allocation"
137310,"MRVL","MARVELL TECHNOLOGY GROUP LTD",83333.3333333333
26677,"SCWX","SECUREWORKS CORP",83333.3333333333
2818,"CATO","CATO CORP  -CL A",83333.3333333333
62396,"IDT","IDT CORP",83333.3333333333
26746,"NTNX","NUTANIX INC",83333.3333333333
28084,"COUP","COUPA SOFTWARE INC",83333.3333333333
8105,"ODC","OIL DRI CORP AMERICA",83333.3333333333
4418,"ENZ","ENZO BIOCHEM INC",83333.3333333333
162988,"ZUMZ","ZUMIEZ INC",83333.3333333333
63763,"HIBB","HIBBETT SPORTS INC",83333.3333333333
30736,"OKTA","OKTA INC",83333.3333333333
65430,"PLCE","CHILDRENS PLACE INC",83333.3333333333
